Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,polish
armorHeavyGroupDesc,items,Clothes,,,Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Ciężki pancerz obciąża, za to dobrze chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
armorLeatherGroupDesc,items,Clothes,,,Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to leather.,,"Lekki pancerz nieznacznie obciąża i słabo chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać skórę."
armorMilitaryGroupDesc,items,Clothes,,,Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to military armor parts.,,"Lekki pancerz nieznacznie obciąża i słabo chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części wojskowego pancerza."
armorMilitaryStealthBootsDesc,items,Clothes,,,These military stealth boots have no stamina use penalty and muffle noise from movement.\n\nRepair with a Repair Kit.\nScrap to military armor parts.,,"Buty nie zwiększają wykorzystania wytrzymałości i wyciszają odgłosy poruszania się.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części wojskowego pancerza."
armorMiningHelmetDesc,items,Clothes,,,This helmet offers good defense and is usually found with a helmet light installed.\nPress F to activate. Hold F to activate multiple items.\n\nRepair with a Repair Kit.\nScrap to scrap polymers.,,"Hełm dobrze chroni przed obrażeniami i często można znaleźć wersję z zamontowaną lampką.\nAby aktywować, przyciśnij klawisz F. Przyciśnij klawisz F, aby aktywować wiele przedmiotów.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać resztki polimerów."
armorScrapDesc,items,Clothes,,,Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with Iron.\nScrap to Iron.,,"Ciężki pancerz obciąża, za to dobrze chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNaprawisz to żelazem.\nZezłomuj, by uzyskać żelazo."
armorSteelGroupDesc,items,Clothes,,,Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Repair Kit.\nScrap to steel armor parts.,,"Ciężki pancerz obciąża, za to dobrze chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowego pancerza."
gunBotT1JunkSledgeDesc,items,Gun,,,You may not be good at punching but you have the technology.\nYou can also deploy this on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,"Może nie potrafisz dobrze przywalić piąchą, ale masz za to technologię.\nUżywając akcji pomocniczej, możesz rozstawić to na ziemi.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać robotyczne części."
gunBotT2JunkTurretDesc,items,Gun,,,This contraption can be fired and reloaded like a gun. It uses Robotic Turret Ammo for ammunition.\nYou can also deploy it on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,"Strzela i przeładowuje się jak zwykła broń palna. Używa amunicji do robotycznej wieżyczki.\nUżywając akcji pomocniczej, możesz rozstawić wieżyczkę na ziemi.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać robotyczne części."
gunBotT3JunkDroneDesc,items,Gun,,,"Crafted from robotic parts and scrap, the robotic drone is the ultimate companion in the apocalypse. It can heal you and carry some items.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.",,"Robotyczny dron, wytwarzany z robotycznych części i złomu, to najlepszy towarzysz po apokalipsie. Może cię wyleczyć, pomóc w walce i nosić trochę przedmiotów.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać robotyczne części."
gunBowT0PrimitiveBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Wood.\nScrap to Wood.,,"Dobry do polowań i zabijania zombie. Potrzebujesz do niego strzał.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nNapraw z użyciem drewna.\nZezłomuj, by uzyskać drewno."
gunBowT1IronCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Ładowanie kuszy trwa dłużej niż łuku, ale zadaje więcej obrażeń.\nZ broni można korzystać pod wodą.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części łuku / kuszy."
gunBowT1WoodenBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Dobry do polowań i zabijania zombie. Potrzebujesz do niego strzał.\nPrzytrzymaj klawisz przeładowania, aby zmienić typ amunicji.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części łuku / kuszy."
gunBowT3CompoundBowDesc,items,Gun,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,"Łuk bloczkowy zadaje więcej obrażeń, a wystrzelone z niego strzały lecą po prostszej linii, co ułatwia celowanie.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części łuku / kuszy."
gunExplosivesT3RocketLauncherDesc,items,Gun,,,A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with a Repair Kit.\nScrap to Rocket Launcher parts.,,"Wyrzutnia rakiet wystrzeliwuje granaty z dodatkowym napędem rakietowym.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części wyrzutni rakiet."
gunHandgunT0PipePistolDesc,items,Gun,,,A home-made pistol firing 9mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Domowej roboty pistolet strzelający amunicją kalibru 9 mm.\n\nNapraw krótką żelazną rurą.\nZezłomuj, by uzyskać żelazo."
gunHandgunT1PistolDesc,items,Gun,,,A basic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Podstawowy pistolet kalibru 9 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części broni krótkiej."
gunHandgunT2Magnum44Desc,items,Gun,,,The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Magnum .44 to król broni krótkiej. Jego moc jest niezrównana, ale jest wyjątkowo hałaśliwy. Pamiętaj, że Clint jest dumny z każdego strzału.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części broni krótkiej."
gunHandgunT3DesertVultureDesc,items,Gun,,,This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Ten ciężki pistolet korzysta z amunicja Magnum .44.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części broni krótkiej."
gunHandgunT3SMG5Desc,items,Gun,,,This submachine gun uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,"Podstawowy pistolet maszynowy kalibru 9 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części broni krótkiej."
gunMGT0PipeMachineGunDesc,items,Gun,,,A home-made automatic weapon firing 7.62mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Domowej roboty broń automatyczna strzelająca amunicją kalibru 7,62 mm.\n\nNapraw krótką żelazną rurą.\nZezłomuj, by uzyskać żelazo."
gunMGT1AK47Desc,items,Gun,,,This badass AK-47 Machine Gun uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Kozacki karabin maszynowy AK-47 kalibru 7,62 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części karabinu maszynowego."
gunMGT2TacticalARDesc,items,Gun,,,This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Taktyczny karabin automatyczny kalibru 7,62 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części karabinu maszynowego."
gunMGT3M60Desc,items,Gun,,,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,"Karabiny maszynowe są nieporęczne, ale wystrzeliwują grad pocisków. Kaliber 7,62 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części karabinu maszynowego."
gunRifleT0PipeRifleDesc,items,Gun,,,A home-made rifle firing 7.62mm ammo.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Domowej roboty karabin strzelający amunicją kalibru 7,62 mm.\n\nNapraw krótką żelazną rurą.\nZezłomuj, by uzyskać żelazo."
gunRifleT1HuntingRifleDesc,items,Gun,,,This common farmer's hunting rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,"Popularny wśród farmerów model sztucera kalibru 7,62 mm.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części karabinu."
gunRifleT2LeverActionRifleDesc,items,Gun,,,This Lever Action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,"Ten karabin dwutaktowy strzela amunicją kalibru 7,62 mm jest najlepszym wyborem, jeśli nie stać cię na pudło.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części karabinu."
gunRifleT3SniperRifleDesc,items,Gun,,,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.",,"Ten precyzyjny karabin dalekiego zasięgu jest idealny do zdejmowania wrogów z dużej odległości.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części karabinu."
gunShotgunT0PipeShotgunDesc,items,Gun,,,A home-made gun firing shotgun shells.\nEffective at very close ranges.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Domowej roboty strzelba strzelająca nabojami do strzelby\nSkuteczna na bardzo krótkim zasięgu.\n\nNapraw krótką żelazną rurą.\nZezłomuj, by uzyskać żelazo."
gunShotgunT1DoubleBarrelDesc,items,Gun,,,"A rusty old double barrel shotgun, great for close range carnage.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.",,"Zardzewiała strzelba o dwóch lufach siejąca śmierć i zniszczenie na krótkim dystansie.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części strzelby."
gunShotgunT2PumpShotgunDesc,items,Gun,,,A long-barreled shotgun with pump action loading .\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,"Strzelba o długiej lufie i z przeładowaniem na pompkę.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części strzelby."
gunShotgunT3AutoShotgunDesc,items,Gun,,,This semi automatic shotgun is a rare and devastating short range weapon capable of making minced meat out of anything in its path.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,"Ta strzelba samopowtarzalna to rzadka, niszczycielska broń krótkiego zasięgu, potrafiąca przerobić na mielonkę wszystko na jej drodze.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części strzelby."
modRoboticDroneArmorPlatingModSchematic,items,item,,,Robotic Drone Armor Plating Mod Schematic,,Pancerz płytowy robotycznego drona – schemat modyfikacji
modRoboticDroneCargoModSchematic,items,item,,,Robotic Drone Cargo Mod Schematic,,Bagażnik robotycznego drona – schemat modyfikacji
modRoboticDroneHeadlampModSchematic,items,item,,,Robotic Headlamp Mod Schematic,,Lampa robotycznego drona – schemat modyfikacji
modRoboticDroneMedicModSchematic,items,item,,,Robotic Drone Medic Mod Schematic,,Robotyczny dron medyk – schemat modyfikacji
modRoboticDroneMoraleBoosterModSchematic,items,item,,,Robotic Drone Morale Booster Mod Schematic,,Dopalenie morale robotycznego drona – schemat modyfikacji
modRoboticDroneWeaponModSchematic,items,item,,,Robotic Drone Weapon Mod Schematic,,Broń robotycznego drona – schemat modyfikacji
modVehicleArmorSchematic,items,item,,,Vehicle Armor Mod Schematic,,Pancerz pojazdu — schemat modyfikacji
modVehicleExpandedSeatSchematic,items,item,,,Vehicle Expanded Seating Mod Schematic,,Dodatkowe siedzenia w pojeździe – schemat modyfikacji
modVehicleReserveFuelTankSchematic,items,item,,,Vehicle Reserve Fuel Tank Mod Schematic,,Zapasowy bak pojazdu – schemat modyfikacji
resourceGunPowderDesc,items,Item,,,Gunpowder made from coal and nitrate can be used to make your own ammo and explosives.,,Proch strzelniczy z węgla i saletry pozwoli ci wytwarzać własnej roboty amunicję i materiały wybuchowe.
resourcePaintDesc,items,Item,,,"Use a paint brush to paint building blocks. Crafted in lots of 250 in the Campfire, and 500 in the Chemistry Station.",,"Jeśli masz pędzel, możesz malować nią po blokach konstrukcyjnych. Wytwarzana w partiach liczących po 250 szt. przy ognisku lub 500 szt. w laboratorium chemicznym."
resourcePotassiumNitratePowder,items,Item,,,Nitrate Powder,,Saletra
resourcePotassiumNitratePowderBundle,items,Item,,,Stack of Nitrate Powder (6000),,Stos saletry (6000)
resourcePotassiumNitratePowderBundleDesc,items,Item,,,This is a compact stack of nitrate powder. Use this item to open and unpack it.,,"Zbity stos saletry. Użyj tego przedmiotu, aby go otworzyć i rozpakować."
resourcePotassiumNitratePowderDesc,items,Item,,,Hey captain caveman! Nitrate has many uses in crafting such as making gunpowder. Cave stalagmites are rich in it.,,"Hej, kapitanie jaskiniowcu! Saletra ma wiele zastosowań w rzemiośle, jest np. składnikiem prochu strzelniczego. Bogate w ten związek są stalagmity."
resourceRockSmall,items,Item,,,Small Stone,,Mały kamień 
resourceRockSmallBundle,items,Item,,,Stack of Small Stone (6000),,Stos małych kamieni (6000)
resourceRockSmallBundleDesc,items,Item,,,This is a compact stack of small stones. Use this item to open and unpack it.,,"Zbity stos małych kamieni. Użyj tego przedmiotu, aby go otworzyć i rozpakować."
meleeWpnBatonT0PipeBatonDesc,items,Melee,,,This baton crafted from junk is light weight but still packs a decent punch.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Ta pałka wytworzona ze złomu waży niewiele, ale mimo to można nią porządnie przywalić.\n\nNapraw krótką żelazną rurą.\nZezłomuj, by uzyskać żelazo."
meleeWpnBatonT2StunBatonDesc,items,Melee,,,Goes zap.\n\nRepair with a Repair Kit.\nScrap to Stun Baton parts.,,"Bzzzzt.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części pałki z paralizatorem."
meleeWpnBladeT0BoneKnifeDesc,items,Melee,,,This primitive makeshift weapon is also useful for gutting animals.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\n\nRepair with Bone.\nScrap to Bone.,,"Prymitywna, prowizoryczna broń i narzędzie przydatne do patroszenia zwierząt.\nZwykłe ataki wyrządzają 1 krwawiącą ranę, a mocne ataki przynajmniej 2.\n\nNapraw z użyciem kości.\nZezłomuj, by uzyskać kość."
meleeWpnBladeT1CandyKnifeDesc,items,Melee,,,Time to get into a festive and stabby mood!\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\n\nRepair with a Repair Kit.,,"Poczuj magię świąt i ciepłą krew ofiary!\nZwykłe ataki wyrządzają 1 krwawiącą ranę, a mocne ataki przynajmniej 2.\n\nNapraw zestawem naprawczym."
meleeWpnBladeT1HuntingKnifeDesc,items,Melee,,,Great for slashing zombies and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Doskonałe narzędzie do rąbania zombie i oprawiania zwierzyny na mięso.\nZwykłe ataki wyrządzają 1 krwawiącą ranę a mocne ataki przynajmniej 2.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeWpnBladeT3MacheteDesc,items,Melee,,,Great for chopping zombies and sometimes trees and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\n\nRepair with a Repair Kit.\nScrap to Machete parts.,,"Doskonałe narzędzie do rąbania zombie, niektórych drzew i oprawiania zwierzyny na mięso.\nZwykłe ataki wyrządzają 1 krwawiącą ranę a mocne ataki przynajmniej 2.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części maczety."
meleeWpnClubT0WoodenClubDesc,items,Melee,,,A wooden club. Good for breaking knees and skulls.\n\nRepair with Wood.\nScrap to Wood.,,"Drewniana maczuga. Doskonałe narzędzie do łamania kolan i czaszek.\n\nNapraw z użyciem drewna.\nZezłomuj, by uzyskać drewno."
meleeWpnClubT1BaseballBatDesc,items,Melee,,,This club was used in gladiatorial games of the past that were held in huge arenas.\n\nRepair with a Repair Kit.\nScrap to Wood.,,"Ta pałka była używana w walkach gladiatorów, które dawno temu organizowano na ogromnych arenach.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać drewno."
meleeWpnClubT1CandyClubDesc,items,Melee,,,Happy beatdown days!\n\n\nRepair with a Repair Kit.,,Wesołej gwiazdki... nad guzem!\n\n\nNapraw zestawem naprawczym.
meleeWpnClubT3SteelClubDesc,items,Melee,,,Steel clubs are very durable and hard-hitting.\n\nRepair with a Repair Kit.\nScrap to Steel Club Parts.,,"Stalowa pałka jest bardzo wytrzymała i pozwala dobrze przywalić.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części stalowej pałki."
meleeWpnKnucklesT0LeatherKnucklesDesc,items,Melee,,,Knuckle wraps protect your hands and put some weight into those swings.\n\nRepair with Cloth.\nScrap to Cloth.,,"Owijki bokserskie ze skóry ochronią ręce i wzmacniają ciosy.\n\nNapraw z użyciem tkaniny.\nZezłomuj, by uzyskać tkaninę."
meleeWpnKnucklesT1IronKnucklesDesc,items,Melee,,,Protect your hands and put some weight into those swings.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Chroni rękę i wzmacnia ciosy.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeWpnKnucklesT3SteelKnucklesDesc,items,Melee,,,Protect your hands and put some weight into those swings. These blades can also be useful for gutting animals.\n\nRepair with a Repair Kit.\nScrap to Steel Knuckles parts.,,"Chroni rękę i wzmacnia ciosy. Dodatkowe ostrza przydadzą się do patroszenia zwierząt.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowego kastetu."
meleeWpnSledgeT0StoneSledgehammerDesc,items,Melee,,,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with Small Stone.\nScrap to Small Stone.,,"Młot rozbiórkowy to jedno z najlepszych narzędzi do rozłupywania czaszek.\n\nNapraw z użyciem małego kamienia.\nZezłomuj, by uzyskać mały kamień."
meleeWpnSledgeT1IronSledgehammerDesc,items,Melee,,,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Młot rozbiórkowy to jeden z najlepszych narzędzi do rozłupywania czaszek.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeWpnSledgeT3SteelSledgehammerDesc,items,Melee,,,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Steel Sledgehammer parts.,,"Młot rozbiórkowy to jeden z najlepszych narzędzi do rozłupywania czaszek.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowego młota rozbiórkowego."
meleeWpnSpearT0StoneSpearDesc,items,Melee,,,Spears have more range than other melee weapons.\n\nRepair with Small Stone.\nScrap to Small Stone.,,Włócznie mają największy zasięg spośród broni białej.\n\nNapraw z użyciem małego kamienia.\nMożna z niego odzyskać mały kamień.
meleeWpnSpearT1IronSpearDesc,items,Melee,,,Spears have more range than other melee weapons.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Włócznie mają największy zasięg spośród broni białej, a dodatkowo można nimi miotać.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeWpnSpearT3SteelSpearDesc,items,Melee,,,Spears have more range than other melee weapons.\n\nRepair with a Repair Kit.\nScrap to Steel Spear parts.,,"Włócznie mają największy zasięg spośród broni białej, a dodatkowo można nimi miotać.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowej włóczni."
meleeToolAxeT1IronFireaxeDesc,items,Tool,,,The fireaxe is good for harvesting wood.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Siekiera strażacka to doskonałe narzędzie drwala.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeToolAxeT2SteelAxeDesc,items,Tool,,,The steel axe has a durable blade and is great for harvesting wood.\n\nRepair with a Repair Kit.\nScrap to Steel Tool parts.,,"Stalowa siekiera jest wytrzymała i świetnie się nadaje do pozyskiwania drewna.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części stalowego narzędzia."
meleeToolAxeT3ChainsawDesc,items,Tool,,,Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts.,,"Wlej benzynę, odpal majestatyczną piłę i rżnij największe drzewa i zombie sprawniej niż Wyrwidąb.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części narzędzia silnikowego."
meleeToolFlashlight02Desc,items,Tool,,,A flashlight that can be used as a light source.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.\n\nScrap to Electrical Parts.,,"Latarka, którą można wykorzystać jako źródło światła.\n\nAktywuj za pomocą akcji źródła światła ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]).\n\nZezłomuj, by uzyskać części elektryczne."
meleeToolPaintToolDesc,items,Tool,,,Use paint to paint building blocks and hold Reload action to choose paint options. You can also erase unwanted paint from blocks with the primary action.,,"Farbą przy użyciu pędzla możesz malować po blokach konstrukcyjnych. Przytrzymaj akcję przeładowania, aby ustawić opcje farby. Możesz również zdrapać niechcianą farbę z bloków, używając akcji głównej."
meleeToolPickT1IronPickaxeDesc,items,Tool,,,The iron pickaxe is great for breaking stone and harvesting minerals.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Żelazny kilof jest idealny do kruszenia kamieni i poszukiwania minerałów.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeToolPickT2SteelPickaxeDesc,items,Tool,,,The steel pickaxe is best for breaking stone and harvesting minerals.\n\nRepair with a Repair Kit.\nScrap to Steel Tool parts.,,"Stalowy kilof jest najlepszym narzędziem do kruszenia kamieni i poszukiwania minerałów.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowego narzędzia."
meleeToolPickT3AugerDesc,items,Tool,,,Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts.,,"Gdy wyruszysz fedrować z nowym świdrem spalinowym, dasz czadu, a wszyscy okoliczni górnicy sczerwienieją z zazdrości.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części narzędzia silnikowego."
meleeToolRepairT0StoneAxeDesc,items,Tool,,,"A primitive tool useful for cutting wood, mining stone, repairing & upgrading walls, doors & windows. Not the best weapon.\n\nRepair with Small Stone.\nScrap to Small Stone.",,"Prymitywne narzędzie do rąbania drewna, rozbijania kamieni, naprawiania i ulepszania ścian, drzwi oraz okien. Jako broń pozostawia wiele do życzenia.\n\nNapraw z użyciem małego kamienia.\nZezłomuj, by uzyskać mały kamień."
meleeToolRepairT0TazasStoneAxeDesc,items,Tool,,,"Taza's stone axe is a rare, powerful, ancient Indian artifact. The Apache believed those who wielded it were invincible in battle.\nRepair with Small Stone.",,"To starożytny, niezwykle rzadki i potężny indiański artefakt. Apacze wierzyli, że posiadacz oręża jest niezwyciężony w walce.\nNapraw z użyciem małego kamienia."
meleeToolRepairT1ClawHammerDesc,items,Tool,,,The claw hammer is great for repairing and upgrading base walls and not bad as a weapon.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Młotkiem do gwoździ naprawisz i ulepszysz podstawowe ściany, a do tego można nim naprawdę nieźle przyłożyć.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeToolRepairT3NailgunDesc,items,Tool,,,The nail gun is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have nails.\n\nRepair with a Repair Kit.\nScrap to Mechanical parts.,,"Gwoździarka to najlepsze narzędzie do naprawiania i ulepszania podstawowych ścian i niezła broń na początek, o ile masz gwoździe.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać mechaniczne części."
meleeToolSalvageT1WrenchDesc,items,Tool,,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Repair Kit.\nScrap to Iron.",,"Dzięki niemu rozkręcisz urządzenia, między innymi komponenty mechaniczne, samochody czy klimatyzatory. \n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeToolSalvageT2RatchetDesc,items,Tool,,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Repair Kit.\nScrap to Steel Tool Parts.",,"Dzięki temu rozkręcisz urządzenia mechaniczne, takie jak samochody czy klimatyzatory.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części stalowego narzędzia."
meleeToolSalvageT3ImpactDriverDesc,items,Tool,,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts.",,"Dzięki temu rozkręcisz urządzenia mechaniczne, takie jak samochody czy klimatyzatory.\n\nNapraw zestawem naprawczym\nZezłomuj, by uzyskać części narzędzia silnikowego."
meleeToolShovelT0StoneShovelDesc,items,Tool,,,"The stone shovel is a primitive tool useful for digging dirt, sand or snow.\n\nRepair with Small Stone.\nScrap to Small Stone.",,"Kamienna łopata to prymitywne narzędzie, którym możesz kopać w ziemi, piasku i śniegu.\n\nNapraw z użyciem małego kamienia.\nZezłomuj, by uzyskać mały kamień."
meleeToolShovelT1IronShovelDesc,items,Tool,,,"The iron shovel is great for digging through earth, sand or snow.\n\nRepair with a Repair Kit.\nScrap to Iron.",,"Żelazna łopata to wspaniałe narzędzie do kopania w ziemi, piasku i śniegu.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
meleeToolShovelT2SteelShovelDesc,items,Tool,,,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.\n\nRepair with a Repair Kit.\nScrap to Steel Tool parts.",,"Stalowa łopata to wspaniałe i wyjątkowo wytrzymałe narzędzie do kopania w ziemi, piasku i śniegu.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać części stalowego narzędzia."
campfireTip,Journal Tip,,,,"Campfires are used to keep you warm, cook food, purify water and for simple chemistry.\nYou must place wood or burnable objects in the fuel slots to use it and have all recipe ingredients in your inventory.\nCraft even more recipes in the campfire by adding a cooking pot, cooking grill or beaker in the utensils slot.\nHold E to pick up Workstations within your land claim area.",,"Przy ognisku możesz się ogrzać, ugotować posiłek, oczyścić wodę i przeprowadzić proste reakcje chemiczne.\nAby skorzystać z ogniska, umieść w miejscach na paliwo drewno lub palne przedmioty i upewnij się, że masz wszystkie składniki przepisu w ekwipunku.\nJeśli chcesz zwiększyć paletę dostępnych przy ognisku przepisów, zdobądź garnek, grilla lub zlewkę i umieść je w miejscach utensyliów.\nAby podnieść stacje robocze na obszarze Twojego bloku prawa własności do ziemi, przytrzymaj przyciśnięty klawisz E."
